id,difficulty,question,answer,reference
350,Hard,"""The wind bloweth where it listeth"" said Jesus to:",Nicodemus,John 3:4-8
324,Hard,According to 2 Timothy 3:16 all Scripture is:,God-breathed and useful for his purposes,2 Timothy 3:16
338,Hard,According to Jesus what are the most important commandments in the Bible?,Love God with all your heart and love your neighbor as yourself,Mark 12:29-31
140,Hard,"According to Paul’s formulation in 1 Corinthians, which is the greatest of the imperishable qualities?",Love,1 Corinthians 13:13
136,Easy,According to the Beatitudes who will be filled?,Those who hunger and thirst for righteousness,
79,Hard,"According to the Gospel of Matthew, where does Jesus give his first public sermon?",On the mount,
143,Hard,"According to the Gospel of Matthew, where does Jesus’s first public sermon take place?",Mount,
328,Hard,According to the NIV (New International Version) what is the shortest verse in the Bible?,Job 3:2,
134,Easy,After Jesus fed 5000+ people with two fish and five loaves of bread how many baskets were left over?,12,
76,Easy,"After Jesus fed the 5,000 how many baskets were left over?",12,
83,Easy,"After Jesus was arrested, which apostle disowned him three times?",Peter,
279,Easy,"After Jesus’ arrest, one apostle allegedly disowned him three times - who was that apostle?",Peter,
466,Easy,"And they said one to another, Behold, this dreamer cometh Gen 37:19 Who is the dreamer in this verse?",Joseph,Genesis 37:19
308,Hard,As a baby how was Moses saved from Pharaoh's murderous decree?,He was put in a basket and thrown into the river,
307,Hard,As a shepherd David protected his flock from two dangerous animals Which ones?,bear and lion,1 Samuel 17:34-37
67,Hard,"As Isaac was dying and blind, who suggested that Jacob should steal the blessing?",Rebekah,
334,Hard,At what age did Jesus begin his ministry?,Around 30 years old,Luke 3:23
250,Easy,Benjamin was the youngest son of which person from the Old Testament?,Jacob,
139,Hard,By what name is Paul of Tarsus known before he begins his missionary activity?,Saul,
238,Hard,By whom were the children of Israel carried captive into Assyria?,Tiglathpileser,2 Kgs 15:29
475,Easy,Complete the following `The light of the body is,The eye,Matthew 6:22
310,Hard,"Complete the verse: ""For God so loved the world...","that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.""",John 3:16
469,Hard,"Complete this verse from Job: ""for the price of wisdom is …………",above rubies,Job 28:18
468,Easy,"Complete this verse: ""How beautiful upon the mountains are the feet of him that bringeth…",good tidings,Isaiah 52:7
375,Hard,Concerning which disciple did the rumor spread that he would not die?,John,John 21:23
167,Hard,During Paul’s third missionary journey,roughly for how long did he minister in the school of Tyrannus at Ephesus?,2 years
49,Easy,Even though Abram and Sarah were too old what did God promise them?,A son,
467,Easy,"Finish this Proverb: ""Labour not to be ",rich,Proverbs 23:4
465,Easy,"Finish this proverb: ""Where there is no vision ",the people perish,Proverbs 29:18
132,Hard,Finish this verse “In every battle you will need faith as your ______ to stop the fiery arrows aimed at you by Satan”,Shield,Ephesians 6:16
211,Easy,For how long did the flood rain fall?,40 days and 40 nights,Gen 7:12
164,Easy,For how many days did Jesus appear to his disciples after his resurrection?,40,
407,Easy,For which type of tree was Lebanon well known?,Cedar,
321,Hard,How and where did Paul's conversion take place?,He had a vision after falling to the ground near Damascus,
63,Hard,How did Esau provide food for the family?,He hunted,
68,Hard,How did Esau respond when his birthright was taken?,Threatened to kill Jacob,
115,Hard,How did God appear to Moses in the book of Exodus?,Through a burning bush on the mountain of God,
254,Easy,How did God appear to Moses in the wilderness?,A burning bush,
46,Hard,How did God make them spread out across the earth?,Confused their languages,
162,Hard,How did Jesus reveal the one who would betray him?,Dipped a piece of bread and passed it to him,
195,Hard,How did Joseph interpret Pharaoh’s dream?,Seven good years and seven bad years,
