"id","difficulty","question","answer","reference","category"
"4001","Easy","Which ancient wonder was located in Egypt?","The Great Pyramid of Giza","","world_history"
"4002","Easy","Who painted the Mona Lisa?","Leonardo da Vinci","","world_history"
"4003","Easy","In which country would you find Machu Picchu?","Peru","","world_history"
"4004","Easy","What year did World War II end?","1945","","world_history"
"4005","Easy","Which empire was ruled by Julius Caesar?","Roman Empire","","world_history"
"4006","Easy","What was the name of the ship that sank in 1912?","Titanic","","world_history"
"4007","Easy","Which country built the Great Wall?","China","","world_history"
"4008","Easy","Who was the first person to walk on the moon?","Neil Armstrong","","world_history"
"4009","Easy","In which city was Shakespeare born?","Stratford-upon-Avon","","world_history"
"4010","Easy","What does AD stand for in dates?","Anno Domini","","world_history"
"4011","Easy","Which explorer discovered America in 1492?","Christopher Columbus","","world_history"
"4012","Easy","What language did ancient Romans speak?","Latin","","world_history"
"4013","Easy","Which war lasted from 1939 to 1945?","World War II","","world_history"
"4014","Easy","What was the name of the ancient Greek city known for its warriors?","Sparta","","world_history"
"4015","Easy","Which Egyptian queen was known for her beauty and relationships with Roman leaders?","Cleopatra","","world_history"
"4016","Easy","What was the name of the pandemic that killed millions in Europe during the 14th century?","Black Death","","world_history"
"4017","Easy","Who was the first Holy Roman Emperor?","Charlemagne","","world_history"
"4018","Easy","What year did the French Revolution begin?","1789","","world_history"
"4019","Easy","Which battle marked the end of Napoleon's reign?","Battle of Waterloo","","world_history"
"4020","Easy","What was the name of the economic recovery plan for Europe after WWII?","Marshall Plan","","world_history"
"4021","Easy","Who was the last emperor of China?","Puyi","","world_history"
"4022","Easy","What was the main cause of World War I?","Assassination of Archduke Franz Ferdinand","","world_history"
"4023","Easy","Which civilization created the first known writing system?","Sumerians","","world_history"
"4024","Easy","What was the name of the trade route connecting Europe and Asia?","Silk Road","","world_history"
"4025","Easy","Who led the Mongol Empire at its peak?","Genghis Khan","","world_history"
"4026","Easy","What was the name of the ship on which Charles Darwin made his famous voyage?","HMS Beagle","","world_history"
"4027","Easy","Which treaty ended World War I?","Treaty of Versailles","","world_history"
"4028","Easy","Who was the last Tsar of Russia?","Nicholas II","","world_history"
"4029","Easy","In what year did the Berlin Wall fall?","1989","","world_history"
"4030","Easy","Which civilization built Angkor Wat?","Khmer Empire","","world_history"
"4031","Easy","Who was the first emperor of Rome?","Augustus","","world_history"
"4032","Easy","What was the name of the period of cultural rebirth in Europe?","Renaissance","","world_history"
"4033","Easy","Which king signed the Magna Carta?","King John","","world_history"
"4034","Easy","What was the name of the ancient city destroyed by a volcano?","Pompeii","","world_history"
"4035","Easy","Who was the famous nurse during the Crimean War?","Florence Nightingale","","world_history"
"4036","Easy","What was the name of the wall built by Hadrian?","Hadrian's Wall","","world_history"
"4037","Easy","Which country was known as the Land of the Rising Sun?","Japan","","world_history"
"4038","Easy","Who was the founder of Buddhism?","Siddhartha Gautama","","world_history"
"4039","Easy","What was the name of the ancient Egyptian writing system?","Hieroglyphics","","world_history"
"4040","Easy","Which explorer circumnavigated the globe?","Ferdinand Magellan","","world_history"
"4041","Easy","What was the name of the empire ruled by Montezuma?","Aztec Empire","","world_history"
"4042","Easy","Who was the famous queen of England during the Elizabethan era?","Elizabeth I","","world_history"
"4043","Easy","What was the name of the period of exploration in the 15th-17th centuries?","Age of Discovery","","world_history"
"4044","Easy","Which war was known as the Great War?","World War I","","world_history"
"4045","Easy","Who was the leader of the Bolshevik Revolution?","Vladimir Lenin","","world_history"
"4046","Easy","What was the name of the ancient Greek philosopher who taught Alexander the Great?","Aristotle","","world_history"
"4047","Easy","Which country was divided by the 38th parallel?","Korea","","world_history"
"4048","Easy","Who was the famous Carthaginian general who crossed the Alps?","Hannibal","","world_history"
"4049","Easy","What was the name of the code broken by the Allies in WWII?","Enigma","","world_history"
"4050","Easy","Which empire was known as the Sick Man of Europe?","Ottoman Empire","","world_history"
"4051","Hard","What was the name of the pandemic that killed millions in Europe during the 14th century?","Black Death","","world_history"
"4052","Hard","Who was the first Holy Roman Emperor?","Charlemagne","","world_history"
"4053","Hard","What year did the French Revolution begin?","1789","","world_history"
"4054","Hard","Which battle marked the end of Napoleon reign?","Battle of Waterloo","","world_history"
"4055","Hard","What was the name of the economic recovery plan for Europe after WWII?","Marshall Plan","","world_history"
"4056","Hard","Who was the last emperor of China?","Puyi","","world_history"
"4057","Hard","What was the main cause of World War I?","Assassination of Archduke Franz Ferdinand","","world_history"
"4058","Hard","Which civilization created the first known writing system?","Sumerians","","world_history"
"4059","Hard","What was the name of the trade route connecting Europe and Asia?","Silk Road","","world_history"
"4060","Hard","Who led the Mongol Empire at its peak?","Genghis Khan","","world_history"
"4061","Hard","What was the name of the ship on which Charles Darwin made his famous voyage?","HMS Beagle","","world_history"
"4062","Hard","Which treaty ended World War I?","Treaty of Versailles","","world_history"
"4063","Hard","Who was the last Tsar of Russia?","Nicholas II","","world_history"
"4064","Hard","In what year did the Berlin Wall fall?","1989","","world_history"
"4065","Hard","Which civilization built Angkor Wat?","Khmer Empire","","world_history"
"4066","Hard","What was the name of the first university in the world?","University of Bologna","","world_history"
"4067","Hard","Who was the pharaoh who built the Great Pyramid?","Khufu","","world_history"
"4068","Hard","What was the name of the code of laws created by Hammurabi?","Code of Hammurabi","","world_history"
"4069","Hard","Which battle defeated the Spanish Armada?","Battle of Gravelines","","world_history"
"4070","Hard","Who was the first woman to win a Nobel Prize?","Marie Curie","","world_history"
"4071","Hard","What was the name of the treaty that ended the Thirty Years' War?","Peace of Westphalia","","world_history"
"4072","Hard","Which emperor built the Taj Mahal?","Shah Jahan","","world_history"
"4073","Hard","What was the name of the ship that carried the Pilgrims to America?","Mayflower","","world_history"
"4074","Hard","Who was the leader of the Haitian Revolution?","Toussaint Louverture","","world_history"
"4075","Hard","What was the name of the dynasty that ruled China during the Ming period?","Ming Dynasty","","world_history"
"4076","Hard","Which war was known as the War of the Roses?","War of the Roses","","world_history"
"4077","Hard","Who was the famous Viking explorer who reached North America?","Leif Erikson","","world_history"
"4078","Hard","What was the name of the council that split the Christian church?","Council of Chalcedon","","world_history"
"4079","Hard","Which king was known as the Sun King?","Louis XIV","","world_history"
"4080","Hard","What was the name of the battle where William the Conqueror defeated Harold?","Battle of Hastings","","world_history"
"4081","Easy","Who was the first emperor of unified China?","Qin Shi Huang","","world_history"
"4082","Easy","What was the name of the ancient library in Egypt?","Library of Alexandria","","world_history"
"4083","Easy","Which philosopher wrote 'The Republic'?","Plato","","world_history"
"4084","Easy","What was the name of the ship that Darwin sailed on?","HMS Beagle","","world_history"
"4085","Easy","Who was the famous queen of Palmyra?","Zenobia","","world_history"
"4086","Easy","What was the name of the war between Athens and Sparta?","Peloponnesian War","","world_history"
"4087","Easy","Which country was the origin of the Renaissance?","Italy","","world_history"
"4088","Easy","Who was the leader of the Protestant Reformation?","Martin Luther","","world_history"
"4089","Easy","What was the name of the famous battle in 1066?","Battle of Hastings","","world_history"
"4090","Easy","Which explorer discovered the sea route to India?","Vasco da Gama","","world_history"
"4091","Easy","What was the name of the Inca capital?","Cuzco","","world_history"
"4092","Easy","Who was the famous English king during the Hundred Years' War?","Henry V","","world_history"
"4093","Easy","What was the name of the period after the fall of Rome?","Middle Ages","","world_history"
"4094","Easy","Which country was ruled by Catherine the Great?","Russia","","world_history"
"4095","Easy","What was the name of the famous pirate known as Blackbeard?","Edward Teach","","world_history"
"4096","Easy","Who was the famous composer during the Baroque period?","Johann Sebastian Bach","","world_history"
"4097","Easy","What was the name of the treaty that ended the Napoleonic Wars?","Congress of Vienna","","world_history"
"4098","Easy","Which country was the setting for the Opium Wars?","China","","world_history"
"4099","Easy","Who was the famous abolitionist in Britain?","William Wilberforce","","world_history"
"4100","Easy","What was the name of the revolution in Russia in 1917?","Russian Revolution","","world_history"
"4101","Hard","What was the name of the ancient Sumerian king who created a code of laws?","Hammurabi","","world_history"
"4102","Hard","Who was the Persian king who invaded Greece?","Xerxes","","world_history"
"4103","Hard","What was the name of the battle where Alexander the Great defeated Darius III?","Battle of Gaugamela","","world_history"
"4104","Hard","Which Roman emperor converted to Christianity?","Constantine","","world_history"
"4105","Hard","What was the name of the Viking settlement in North America?","Vinland","","world_history"
