"id","difficulty","question","answer","reference","category"
"6001","Easy","Who was the first king anointed by Samuel?","Saul","1 Samuel 10:1","bible"
"6002","Easy","What fruit did Adam and Eve eat?","Fruit from the tree of knowledge","","bible"
"6003","Easy","Who built the temple in Jerusalem?","Solomon","","bible"
"6004","Easy","What is the Golden Rule?","Do unto others as you would have them do unto you","Matthew 7:12","bible"
"6005","Easy","Who was thrown into a fiery furnace?","Shadrach, Meshach, and Abednego","","bible"
"6006","Easy","What did God create on the first day?","Light","","bible"
"6007","Easy","Who was the wisest man in the Bible?","Solomon","","bible"
"6008","Easy","What is the first commandment?","You shall have no other gods before me","","bible"
"6009","Easy","Who parted the Jordan River?","Joshua","","bible"
"6010","Easy","What was manna?","Bread from heaven","","bible"
"6011","Easy","Who was the brother of Moses?","Aaron","","bible"
"6012","Easy","What did Jesus walk on?","Water","","bible"
"6013","Easy","Who was the queen of Persia?","Esther","","bible"
"6014","Easy","What is the shortest verse in the Bible?","Jesus wept","John 11:35","bible"
"6015","Easy","Who was the father of John the Baptist?","Zechariah","","bible"
"6016","Easy","What city did Joshua conquer first?","Jericho","","bible"
"6017","Easy","Who was swallowed by a whale?","Jonah","","bible"
"6018","Easy","What is the Lord's Prayer?","Our Father in heaven","","bible"
"6019","Easy","Who betrayed Jesus for 30 pieces of silver?","Judas Iscariot","","bible"
"6020","Easy","What was the name of Jesus' hometown?","Nazareth","","bible"
"6021","Easy","Who was the first disciple called by Jesus?","Simon Peter","","bible"
"6022","Easy","What did God use to confuse languages?","Tower of Babel","","bible"
"6023","Easy","Who was the mother of Isaac?","Sarah","","bible"
"6024","Easy","What animal did Balaam ride?","Donkey","","bible"
"6025","Easy","Who was the strongest judge?","Samson","","bible"
"6026","Easy","What is the book of songs?","Psalms","","bible"
"6027","Easy","Who was the wise king?","Solomon","","bible"
"6028","Easy","What did Jesus ride into Jerusalem?","Donkey","","bible"
"6029","Easy","Who was the tax collector apostle?","Matthew","","bible"
"6030","Easy","What was the name of the sea Jesus calmed?","Sea of Galilee","","bible"
"6031","Easy","Who was the brother of Cain?","Abel","","bible"
"6032","Easy","What did God promise Abraham?","Numerous descendants","","bible"
"6033","Easy","Who was the prophet that anointed David?","Samuel","","bible"
"6034","Easy","What was Goliath's height?","Six cubits and a span","","bible"
"6035","Easy","Who was the queen who saved her people?","Esther","","bible"
"6036","Easy","What is the first book of the New Testament?","Matthew","","bible"
"6037","Easy","Who wrote the book of Proverbs?","Solomon","","bible"
"6038","Easy","What did Jesus turn into wine?","Water","","bible"
"6039","Easy","Who was the disciple that doubted?","Thomas","","bible"
"6040","Easy","What was the name of the river Moses was found in?","Nile","","bible"
"6041","Easy","Who was the father of Joseph?","Jacob","","bible"
"6042","Easy","What animal spoke to Balaam?","Donkey","","bible"
"6043","Easy","Who was the first high priest?","Aaron","","bible"
"6044","Easy","What was the name of the promised land?","Canaan","","bible"
